Date,Campaign,Campaign UUID,Campaign End Date,Campaign Link,Campaign Segment,Campaign Segment UUID,Campaign Segment Link,Campaign Start Date,Campaign Type,Campaign Updated At,Sends,Delivered,Bounces,Soft Bounces,Impressions,Unique Impressions,Revenue per Purchase,Revenue,Purchases,Unique Open Rate,Clicks,Unique Clicks,Unique Click %,CTOR,Unsubscribe Rate,Unsubscribes,Spam Rate,Spam Reports,Add to Cart,Orders,Activations,BCC Sends,Clicks (bot only),Clicks (user only),Device Bounces,Device Sends,Dismisses,Drops,Holdouts,Impressions (pre-fetch only),Impressions (user only),Journey Actions,Subscribes,Subscription Cancels,Subscription Downgrade,Subscription Starts,Subscription Upgrade,Unique Clicks (bot only),Unique Clicks (user only),Unique Impressions (pre-fetch only),Unique Impressions (user only),Unique Soft Bounces,Visits,Add to Wishlist,App install,App update,Category View,Digioh Sign Up,Financing Alert Cart,Financing Alert Wishlist,GX Add to Cart,GX Listing View,GX Purchase,InSync View,Inbound Message,Manufacturer View,New Lead,Push Notification Test,Remove from Wishlist,Time To Reorder (Consumables),add_to_cart,app_open,april2025_15off_email,april2025_20off_email,back_in_stock.add_to_cart,back_in_stock.add_to_wishlist,catalog_change.sw_financingmonths_v2.add_to_cart,catalog_change.sw_financingmonths_v2.add_to_wishlist,checkout,identify,item-alert-rebate-available,item_alert,item_alert_preowned,item_alert_price_increase,journey_gatekeeper_triggered,journey_queue_completed,journey_started,pageload,persona_gateway,price_change.add_to_cart,price_change.add_to_wishlist,purchase,remove_from_cart,se_subscribe,se_unsubscribe,search,subscribe_interest,unsubscribe_interest,view,web_subscribe,web_unsubscribe,Bounce Rate,Click %,Clicks per Unique Impression,Delivered %,Opens/Sends,Orders per Unique Click,Revenue %,Revenue per Delivered,Revenue per Impression,Revenue per Order,Revenue per Unique Click,Spam Report %,Unique Clicks per Send,Unique Impressions (user only) %,Unique Soft Bounce %
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,[Tagger] T1 Members,34c4fd23-c864-4bb0-8e43-adc4816c6552,none,https://app.getblueshift.com/dashboard#/app/campaigns/34c4fd23-c864-4bb0-8e43-adc4816c6552/details,T1 Tag Queue,93948a19-a374-47f4-a254-40ee3c9955f5,https://app.getblueshift.com/dashboard#/app/segments/93948a19-a374-47f4-a254-40ee3c9955f5/edit,6/10/24 4:00,Segment Triggered,4/28/25 12:54,15083979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,Abandoned Browse,f45fd524-0043-4e28-8661-2528ee7ac27d,none,https://app.getblueshift.com/dashboard#/app/campaigns/f45fd524-0043-4e28-8661-2528ee7ac27d/details,Abandoned Browse,bb8420b4-c3e8-4397-9f45-d9d12386e574,https://app.getblueshift.com/dashboard#/app/segments/bb8420b4-c3e8-4397-9f45-d9d12386e574/edit,9/12/23 19:38,Segment Triggered,5/12/25 20:01,8469578,8429865,1085,37087,5968011,3878498,547.2170459,18876252,34495,46.01,475209,245569,2.91,6.33,0.04,3679,0.01,800,472,34495,2639,0,60193,210754,0,0,0,6378,0,4081788,1886214,83445967,1,0,0,0,0,16901,131847,2753000,1414244,36380,264883,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,5.61,0.122523977,99.53,70.46,14.05,2.228712222,2.23921166,3.162905028,547.2170459,76.8674059,0.01,0.028994243,16.78,0.43
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,Abandoned Cart,a991863c-c1bc-41ba-8118-cb7583d4203d,none,https://app.getblueshift.com/dashboard#/app/campaigns/a991863c-c1bc-41ba-8118-cb7583d4203d/details,none,none,https://app.getblueshift.com/dashboard#/app/segments/none/edit,4/14/23 13:00,Event Triggered,10/15/24 17:40,4356349,2905514,2103,19867,2318411,1396538,559.9922509,35698946,63749,48.07,237702,146759,5.05,10.51,0.05,1361,0.01,222,315,63749,6984,0,16954,91599,0,0,0,4148,0,1497235,821171,32739334,2,0,0,0,0,7475,61755,936101,548067,19678,100186,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,5.46,0.170208043,66.7,53.22,43.44,8.194693768,12.28661985,15.39802304,559.9922509,243.2487684,0.01,0.033688531,18.86,0.45
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,[Tagger] T1 Downgraded,2a85ef28-7c90-47ee-b79b-cc7ac1855a3f,none,https://app.getblueshift.com/dashboard#/app/campaigns/2a85ef28-7c90-47ee-b79b-cc7ac1855a3f/details,[dev] T1 Downgrade Queue,33b09f1d-c015-44d2-a425-3c4bd373865c,https://app.getblueshift.com/dashboard#/app/segments/33b09f1d-c015-44d2-a425-3c4bd373865c/edit,7/8/24 18:31,Segment Triggered,4/28/25 12:53,4246824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,Win Back Journey,d9d6cefb-3ecd-4d6d-8b26-3d25488c8ca2,none,https://app.getblueshift.com/dashboard#/app/campaigns/d9d6cefb-3ecd-4d6d-8b26-3d25488c8ca2/details,Win-back,2e5a7e0e-5744-4eb4-8c9b-85d7a09aac10,https://app.getblueshift.com/dashboard#/app/segments/2e5a7e0e-5744-4eb4-8c9b-85d7a09aac10/edit,8/8/23 19:47,Segment Triggered,8/21/24 12:44,3555540,1632096,812,11442,810906,561060,376.0455696,445614,1185,34.38,28789,19513,1.2,3.48,0.05,813,0.01,119,1,1185,605,0,3128,7687,0,0,0,1616,0,650607,160297,0,0,0,0,0,0,1901,5682,456626,124346,11505,15036,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.81,0.051311803,45.9,22.81,6.07,0.125329486,0.273031733,0.549526086,376.0455696,22.83677548,0,0.005488055,7.62,0.32
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,20250501 - Recording Month Email - Announcement,572c18c6-e2e5-438c-a512-8fdee51ead71,none,https://app.getblueshift.com/dashboard#/app/campaigns/572c18c6-e2e5-438c-a512-8fdee51ead71/details,T1+2 - All,fea24e7b-bf88-47d4-b099-2da7ec7a15e8,https://app.getblueshift.com/dashboard#/app/segments/fea24e7b-bf88-47d4-b099-2da7ec7a15e8/edit,5/1/25 15:00,One Time Send,5/1/25 18:12,3425813,3413346,389,6764,1305843,998780,639.5216179,458537,717,29.26,50592,22716,0.67,2.27,0.05,1661,0,149,0,717,78,0,29950,20642,0,0,0,5440,0,1082333,223504,0,0,0,0,0,0,8805,15181,846804,188137,6856,6729,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1.48,0.050653798,99.64,38.12,3.16,0.133847644,0.134336513,0.351142519,639.5216179,20.18564008,0,0.006630835,5.51,0.2
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,20250503 - inSync,d9b35e64-b2d4-4d7a-848b-bf79160050d2,none,https://app.getblueshift.com/dashboard#/app/campaigns/d9b35e64-b2d4-4d7a-848b-bf79160050d2/details,inSync Audience,65ba7ff4-c8ce-4d45-b8ef-3874a74ce89a,https://app.getblueshift.com/dashboard#/app/segments/65ba7ff4-c8ce-4d45-b8ef-3874a74ce89a/edit,5/3/25 18:00,One Time Send,5/3/25 22:06,3406436,3395505,291,5950,1362438,1061777,693.6658163,815751,1176,31.27,79736,46654,1.37,4.39,0.05,1795,0,75,23,1176,96,0,26780,52956,0,0,0,5441,0,1081589,280839,0,0,0,0,0,0,11167,38902,863536,237805,5885,36158,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2.34,0.075096748,99.68,40,2.52,0.239473456,0.240244382,0.598743576,693.6658163,17.48512453,0,0.013695839,7,0.17
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,20250419 - inSync,35ff5e5f-a67d-4cec-8e7a-58976a5c8d14,none,https://app.getblueshift.com/dashboard#/app/campaigns/35ff5e5f-a67d-4cec-8e7a-58976a5c8d14/details,inSync Audience,65ba7ff4-c8ce-4d45-b8ef-3874a74ce89a,https://app.getblueshift.com/dashboard#/app/segments/65ba7ff4-c8ce-4d45-b8ef-3874a74ce89a/edit,4/19/25 18:00,One Time Send,5/10/25 19:31,3404950,3390684,620,11113,1396998,1056140,628.1386207,910801,1450,31.15,68517,40356,1.19,3.82,0.07,2380,0,129,21,1450,105,0,24977,43540,0,0,0,5559,0,1150535,246458,0,0,0,0,0,0,10415,33424,887744,203797,11117,29505,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,2.01,0.064874922,99.58,41.03,3.59,0.267493208,0.268618662,0.651970153,628.1386207,22.56915948,0,0.011852156,6.01,0.33
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,20241129 - Black Friday AM,cbed0ed7-569e-401b-9160-f70f29ffbc87,none,https://app.getblueshift.com/dashboard#/app/campaigns/cbed0ed7-569e-401b-9160-f70f29ffbc87/details,T1+2+3 - All,5bfa13cc-8e1d-423d-9392-6a579d326cc3,https://app.getblueshift.com/dashboard#/app/segments/5bfa13cc-8e1d-423d-9392-6a579d326cc3/edit,11/29/24 12:00,One Time Send,1/21/25 14:58,3399747,3384845,928,11197,1473879,1047620,499.9938486,1869477,3739,30.95,67180,45729,1.35,4.37,0.05,1850,0.01,261,0,3739,385,0,22171,45009,0,0,0,3901,0,1237334,236539,0,0,0,0,0,0,9317,38510,892709,198288,11140,25926,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1.98,0.064126305,99.56,43.35,8.18,0.549887095,0.552308008,1.268406022,499.9938486,40.88165059,0.01,0.013450707,5.86,0.33
2022-01-01T00:00:00-05:00 - 2025-05-12T23:59:59-04:00,20250412 - inSync,4fd3de5d-332f-4b2c-98b2-6523eb4ba5f3,none,https://app.getblueshift.com/dashboard#/app/campaigns/4fd3de5d-332f-4b2c-98b2-6523eb4ba5f3/details,inSync Audience,65ba7ff4-c8ce-4d45-b8ef-3874a74ce89a,https://app.getblueshift.com/dashboard#/app/segments/65ba7ff4-c8ce-4d45-b8ef-3874a74ce89a/edit,4/12/25 18:00,One Time Send,5/10/25 19:32,3398472,3383142,566,10234,1436307,1036955,583.9815451,1360677,2330,30.65,77716,45602,1.35,4.4,0.07,2408,0,114,33,2330,126,0,26751,50965,0,0,0,5311,0,1176963,259337,0,0,0,0,0,0,11081,37604,873864,210817,10217,34634,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,2.29,0.074946357,99.55,42.26,5.11,0.400379053,0.402193287,0.947344126,583.9815451,29.83809921,0,0.013418383,6.23,0.3
